year,month,day,EGP,USD
2014,12,13,1,7.1501
2014,12,14,1,7.1501
2014,12,15,1,7.1501
2014,12,16,1,7.1501
2014,12,17,1,7.1501
2014,12,18,1,7.1501
2014,12,19,1,7.1501
2014,12,20,1,7.1501
2014,12,21,1,7.1501
2014,12,22,1,7.1501
2014,12,23,1,7.1501
2014,12,24,1,7.1501
2014,12,25,1,7.1501
2014,12,26,1,7.1501
2014,12,27,1,7.1501
2014,12,28,1,7.1501
2014,12,29,1,7.1501
2014,12,30,1,7.1501
2014,12,31,1,7.1501
2015,1,1,1,7.1501
2015,1,2,1,7.1501
2015,1,3,1,7.1501
2015,1,4,1,7.1501
2015,1,5,1,7.1501
2015,1,6,1,7.1501
2015,1,7,1,7.1501
2015,1,8,1,7.1501
2015,1,9,1,7.1501
2015,1,10,1,7.1501
2015,1,11,1,7.1501
2015,1,12,1,7.1501
2015,1,13,1,7.1501
2015,1,14,1,7.1501
2015,1,15,1,7.1501
2015,1,16,1,7.1501
2015,1,17,1,7.1501
2015,1,18,1,7.1505
2015,1,19,1,7.2001
2015,1,20,1,7.25
2015,1,21,1,7.3001
2015,1,22,1,7.35
2015,1,23,1,7.4001
2015,1,24,1,7.4001
2015,1,25,1,7.4001
2015,1,26,1,7.4001
2015,1,27,1,7.4401
2015,1,28,1,7.4401
2015,1,29,1,7.47
2015,1,30,1,7.59
2015,1,31,1,7.59
2015,2,1,1,7.595
2015,2,2,1,7.6101
2015,2,3,1,7.63
2015,2,4,1,7.635
2015,2,5,1,7.63
2015,2,6,1,7.63
2015,2,7,1,7.63
2015,2,8,1,7.63
2015,2,9,1,7.63
2015,2,10,1,7.63
2015,2,11,1,7.6151
2015,2,12,1,7.6326
2015,2,13,1,7.6275
2015,2,14,1,7.6275
2015,2,15,1,7.63
2015,2,16,1,7.63
2015,2,17,1,7.63
2015,2,18,1,7.63
2015,2,19,1,7.63
2015,2,20,1,7.63
2015,2,21,1,7.63
2015,2,22,1,7.6326
2015,2,23,1,7.63
2015,2,24,1,7.63
2015,2,25,1,7.63
2015,2,26,1,7.63
2015,2,27,1,7.63
2015,2,28,1,7.63
2015,3,1,1,7.63
2015,3,2,1,7.63
2015,3,3,1,7.63
2015,3,4,1,7.63
2015,3,5,1,7.63
2015,3,6,1,7.63
2015,3,7,1,7.63
2015,3,8,1,7.63
2015,3,9,1,7.63
2015,3,10,1,7.63
2015,3,11,1,7.63
2015,3,12,1,7.6326
2015,3,13,1,7.6275
2015,3,14,1,7.63
2015,3,15,1,7.6326
2015,3,16,1,7.6326
2015,3,17,1,7.63
2015,3,18,1,7.6326
2015,3,19,1,7.63
2015,3,20,1,7.63
2015,3,21,1,7.63
2015,3,22,1,7.63
2015,3,23,1,7.63
2015,3,24,1,7.63
2015,3,25,1,7.63
2015,3,26,1,7.63
2015,3,27,1,7.63
2015,3,28,1,7.63
2015,3,29,1,7.63
2015,3,30,1,7.63
